Brand,Name,Location,Rating,Number of Ratings,Price
Massa Vecchia,"Massa Vecchia
Rosato di Toscana 2019","Maremma Toscana, Italy",4.2,34 ratings,60
Château d'Esclans,"Château d'Esclans
Whispering Angel Rosé 2019","Côtes de Provence, France",4.1,10344 ratings,23.99
Château d'Esclans,"Château d'Esclans
Whispering Angel Rosé 2021","Côtes de Provence, France",4.1,5469 ratings,22.97
Domaines Ott,"Domaines Ott
By.Ott Rosé 2020","Côtes de Provence, France",4.1,1890 ratings,27.99
Tormaresca,"Tormaresca
Negroamaro Salento Calafuria Rosato 2020","Salento, Italy",4.1,1770 ratings,11.95
Minuty,"Minuty
Prestige Rosé 2020","Côtes de Provence, France",4.1,1663 ratings,29.99
Tormaresca,"Tormaresca
Negroamaro Salento Calafuria Rosato 2021","Salento, Italy",4.1,1300 ratings,12.95
Notorious Wines,"Notorious Wines
Notorious Pink Grenache 2020","Vin de France, France",4.1,848 ratings,17.07
La Mascaronne,"La Mascaronne
Provence Rosé 2020","Côtes de Provence, France",4.1,635 ratings,24.94
Ameztoi,"Ameztoi
Rubentis 2021","Getariako Txakolina, Spain",4.1,318 ratings,22.95
Fleur de Mer,"Fleur de Mer
Rosé 2021","Côtes de Provence, France",4.1,270 ratings,19.99
Peyrassol,"Peyrassol
Cuvée des Commandeurs Côtes de Provence Rosé 2021","Côtes de Provence, France",4.1,268 ratings,22.94
Domaines Ott,"Domaines Ott
Château Romassan Rosé (Coeur de Grain) 2021","Bandol, France",4.1,193 ratings,54.97
Oenops,"Oenops
Aplá (Απλά) Dry Rosé 2019","Drama, Greece",4.1,191 ratings,25.99
Domaines Ott,"Domaines Ott
Clos Mireille Rosé (Coeur de Grain) 2021","Côtes de Provence, France",4.1,115 ratings,54.99
Pascal Jolivet,"Pascal Jolivet
Sancerre Rosé 2020","Sancerre, France",4.1,100 ratings,24.99
Girolamo Russo,"Girolamo Russo
Etna Rosato 2021","Etna, Italy",4.1,83 ratings,32
Château Pradeaux,"Château Pradeaux
Bandol Rosé 2021","Bandol, France",4.1,53 ratings,24.94
Château Léoube,"Château Léoube
Rosé de Léoube 2021","Côtes de Provence, France",4.1,52 ratings,26.99
Elio Perrone,"Elio Perrone
Bigarò Rosé 2021","Piemonte, Italy",4.1,49 ratings,19.95
Curran,"Curran
Grenache Gris Rosé 2021","Santa Barbara County, United States",4.1,33 ratings,18.99
Minuty,"Minuty
M Rosé 2020","Côtes de Provence, France",4.0,4639 ratings,22.94
Minuty,"Minuty
M Rosé 2021","Côtes de Provence, France",4.0,2425 ratings,23.49
Fleurs de Prairie,"Fleurs de Prairie
Côtes de Provence 2020","Côtes de Provence, France",4.0,2231 ratings,17.99
Maison Saint Aix,"Maison Saint Aix
AIX Rosé 2021","Coteaux d'Aix-en-Provence, France",4.0,1443 ratings,18.99
Adorada,"Adorada
Rosé 2017","California, United States",4.0,1127 ratings,27.99
Minuty,"Minuty
Prestige Rosé 2021","Côtes de Provence, France",4.0,1024 ratings,26.70
Domaines Ott,"Domaines Ott
By.Ott Rosé 2021","Côtes de Provence, France",4.0,874 ratings,23.49
Maison No. 9,"Maison No. 9
Rose 2020","Vin de France, France",4.0,779 ratings,14.43
Wölffer Estate,"Wölffer Estate
Summer In A Bottle Long Island Rosé 2021","Long Island, United States",4.0,489 ratings,23.49
Casa Madero,"Casa Madero
V Rosado 2021","Valle de Parras, Mexico",4.0,375 ratings,23.99
Domaine Lafage,"Domaine Lafage
Miraflors Rosé 2021","Côtes du Roussillon, France",4.0,341 ratings,16.95
La Mascaronne,"La Mascaronne
Provence Rosé 2021","Côtes de Provence, France",4.0,222 ratings,26.94
Malene,"Malene
Rosé 2018","Central Coast, United States",4.0,143 ratings,50
Mas de Cadenet,"Mas de Cadenet
Côtes de Provence Sainte Victoire 2021","Côtes de Provence, France",4.0,124 ratings,22.99
Marqués de Murrieta,"Marqués de Murrieta
Primer Rosé 2016","Rioja, Spain",4.0,120 ratings,49.99
Casas del Bosque,"Casas del Bosque
Pinot Noir Rosé 2021","Casablanca Valley, Chile",4.0,120 ratings,13.29
Matthiasson,"Matthiasson
Rosé 2021","Napa Valley, United States",4.0,92 ratings,29.94
Ostatu,"Ostatu
Rioja Rosé 2021","Rioja Alavesa, Spain",4.0,82 ratings,22.99
Commanderie de la Bargemone,"Commanderie de la Bargemone
Rosé 2019","Coteaux d'Aix-en-Provence, France",4.0,75 ratings,16.99
Peyrassol,"Peyrassol
La Croix Rosé 2021","Méditerranée, France",4.0,75 ratings,16.95
Domaine Le Galantin,"Domaine Le Galantin
Bandol Rosé 2017","Bandol, France",4.0,63 ratings,29.99
One Stone Cellars,"One Stone Cellars
Rosé of Pinot Noir 2021","Central Coast, United States",4.0,53 ratings,14.95
Domaine de Terrebrune,"Domaine de Terrebrune
Terroir du Trias Delille Vigneron Bandol Rosé 2021","Bandol, France",4.0,51 ratings,31.99
Andi Fausto,"Andi Fausto
La Poderosa Rosato 2019","Lombardia, Italy",4.0,50 ratings,42
Bagnol,"Bagnol
Cassis Rosé 2021","Cassis, France",4.0,46 ratings,27.94
Flam,"Flam
Rosé 2019","Judean Hills, Israel",4.0,46 ratings,44.99
Turley,"Turley
White Zinfandel 2020","Napa Valley, United States",4.0,45 ratings,27.97
Peyrassol,"Peyrassol
La Croix Rosé 2020","Méditerranée, France",4.0,44 ratings,19.99
Graci,"Graci
Etna Rosato 2021","Etna, Italy",4.0,40 ratings,25
Le Roi des Pierres,"Le Roi des Pierres
Sancerre Rosé 2019","Sancerre, France",4.0,35 ratings,30
Château les Mesclances,"Château les Mesclances
Charmes Rosé 2021","Méditerranée, France",4.0,30 ratings,22.99
Lamoresca,"Lamoresca
Rosato 2021","Terre Siciliane, Italy",4.0,26 ratings,38
Miraval,"Miraval
Côtes de Provence Rosé 2020","Côtes de Provence, France",3.9,2268 ratings,21
Côte des Roses,"Côte des Roses
Rosé 2021","Languedoc, France",3.9,2166 ratings,16.99
Miraval,"Miraval
Côtes de Provence Rosé 2021","Côtes de Provence, France",3.9,1124 ratings,21.10
Hampton Water,"Hampton Water
Rosé 2020","Pays d'Oc, France",3.9,1108 ratings,19.94
Fleurs de Prairie,"Fleurs de Prairie
Côtes de Provence 2021","Côtes de Provence, France",3.9,836 ratings,16
Hampton Water,"Hampton Water
Rosé 2021","Pays d'Oc, France",3.9,591 ratings,20.28
Villa Wolf,"Villa Wolf
Pinot Noir Rosé 2021","Pfalz, Germany",3.9,582 ratings,13.86
La Spinetta,"La Spinetta
Il Rosé di Casanova 2021","Toscana, Italy",3.9,570 ratings,19.21
Muga,"Muga
Muga Rosado 2021","Rioja, Spain",3.9,566 ratings,19.95
Triennes,"Triennes
Rosé 2021","Var, France",3.9,494 ratings,19.95
Château d'Aqueria,"Château d'Aqueria
Tavel Rosé 2020","Tavel, France",3.9,384 ratings,17.99
Château de Campuget,"Château de Campuget
Costières-de-Nîmes Rosé (Tradition de Campuget) 2020","Costières-de-Nîmes, France",3.9,359 ratings,14.99
Château d'Esclans,"Château d'Esclans
The Pale Rosé 2020","Provence, France",3.9,344 ratings,15.99
Peyrassol,"Peyrassol
Cuvée des Commandeurs Côtes de Provence Rosé 2020","Côtes de Provence, France",3.9,336 ratings,19.94
Monte Xanic,"Monte Xanic
Grenache Rosé 2020","Valle de Guadalupe, Mexico",3.9,314 ratings,22.99
Château d'Esclans,"Château d'Esclans
The Beach Whispering Angel Rosé 2021","Provence, France",3.9,300 ratings,17.99
Banshee Wines,"Banshee Wines
Rosé 2019","Mendocino County, United States",3.9,213 ratings,22
La Fête du Rosé,"La Fête du Rosé
Côtes de Provence Rosé 2020","Côtes de Provence, France",3.9,202 ratings,24.99
Château Beaulieu,"Château Beaulieu
Coteaux d'Aix-en-Provence Cuvée Alexandre Rosé 2020","Coteaux d'Aix-en-Provence, France",3.9,186 ratings,18.99
Smoke Tree,"Smoke Tree
Rosé 2019","Sonoma County, United States",3.9,164 ratings,15.99
Château de Trinquevedel,"Château de Trinquevedel
Tavel 2021","Tavel, France",3.9,125 ratings,22.95
Malene,"Malene
Rosé 2019","Central Coast, United States",3.9,98 ratings,22
Lunaria,"Lunaria
Ramoro Pinot Grigio 2020","Terre di Chieti, Italy",3.9,71 ratings,16.95
Stolpman Vineyards,"Stolpman Vineyards
Love You Bunches Rosé 2021","Central Coast, United States",3.9,67 ratings,24.99
Bonny Doon,"Bonny Doon
Vin Gris de Cigare 2021","Central Coast, United States",3.9,64 ratings,14.94
McBride Sisters,"McBride Sisters
Black Girl Magic Rosé 2020","California, United States",3.9,61 ratings,20.99
The Vice,"The Vice
Pinot Noir Rosé 2019","Napa Valley, United States",3.9,53 ratings,25
Château Roubine,"Château Roubine
Premium Rosé Côtes de Provence (Cru Classé) 2021","Côtes de Provence, France",3.9,45 ratings,20.99
La Bastide Blanche,"La Bastide Blanche
Bandol Rosé 2021","Bandol, France",3.9,39 ratings,31.99
Decoy,"Decoy
Rosé 2021","California, United States",3.9,38 ratings,20
Château Saint Pierre,"Château Saint Pierre
Tradition Côtes de Provence Rosé 2021","Côtes de Provence, France",3.9,37 ratings,17.99
Long Shadows,"Long Shadows
Julia's Dazzle Rosé 2021","Horse Heaven Hills, United States",3.9,32 ratings,21.99
Commanderie de la Bargemone,"Commanderie de la Bargemone
Rosé 2021","Coteaux d'Aix-en-Provence, France",3.9,30 ratings,21.99
Domaine Poli,"Domaine Poli
Clos Alivu Rosé 2021","Patrimonio, France",3.9,29 ratings,27.99
La Ferme Rouge,"La Ferme Rouge
Le Gris 2021","Zaër, Morocco",3.9,27 ratings,16.99
Château d'Esclans,"Château d'Esclans
The Pale Rosé 2021","Provence, France",3.8,1123 ratings,16
Château d'Esclans,"Château d'Esclans
The Beach Whispering Angel Rosé 2020","Provence, France",3.8,939 ratings,15.99
Summer Water,"Summer Water
Rosé 2020","Central Coast, United States",3.8,616 ratings,22.99
The Prisoner,"The Prisoner
Unshackled Rosé 2019","California, United States",3.8,609 ratings,23.49
Avaline,"Avaline
Rosé N.V.","Vin de France, France",3.8,602 ratings,20.28
G.D. Vajra,"G.D. Vajra
Rosabella Rosato 2021","Piemonte, Italy",3.8,474 ratings,21.99
Miraval,"Miraval
Studio 2021","Côtes de Provence, France",3.8,463 ratings,15.78
New Age,"New Age
Sweet Rosé N.V.","Mendoza, Argentina",3.8,427 ratings,10.99
Produttori Vini Manduria,"Produttori Vini Manduria
Aka Primitivo 2018","Salento, Italy",3.8,273 ratings,16.99
Mamete Prevostini,"Mamete Prevostini
Monrose 2019","Terrazze Retiche di Sondrio, Italy",3.8,221 ratings,17.99
Vanderpump,"Vanderpump
Rosé 2020","Côtes de Provence, France",3.8,186 ratings,17.99
La Dentelle,"La Dentelle
Methode Ancestrale Bugey Cerdon Demi-Sec Rosé N.V.","Bugey, France",3.8,182 ratings,29.99
Château Paradis,"Château Paradis
Coteaux d'Aix-en-Provence Rosé 2019","Coteaux d'Aix-en-Provence, France",3.8,151 ratings,14.94
Château Léoube,"Château Léoube
Love by Léoube Côtes de Provence 2019","Côtes de Provence, France",3.8,146 ratings,23.99
Cantine del Notaio,"Cantine del Notaio
Il Rogito 2017","Basilicata, Italy",3.8,137 ratings,24.99
Thibaud Boudignon,"Thibaud Boudignon
Rosé de Loire 2021","Rosé de Loire, France",3.8,97 ratings,22.94
Domaine de la Croix,"Domaine de la Croix
Iirrésistible Côtes de Provence Rosé 2019","Côtes de Provence, France",3.8,85 ratings,20.99
Peyrassol,"Peyrassol
Chateau Peyrassol Côtes de Provence Rosé 2020","Côtes de Provence, France",3.8,63 ratings,29.94
Sonoma-Cutrer,"Sonoma-Cutrer
Winemaker's Release Rosé of Pinot Noir 2019","Russian River Valley, United States",3.8,62 ratings,49
Breca,"Breca
Rosé 2021","Aragón, Spain",3.8,48 ratings,14.99
Mark Ryan Winery,"Mark Ryan Winery
Lu & Oly Flowerhead Rosé 2021","Columbia Valley, United States",3.8,32 ratings,19.99
Domaine La Manarine,"Domaine La Manarine
Côtes du Rhône Rosé 2017","Côtes-du-Rhône, France",3.8,29 ratings,18.99
Pratsch,"Pratsch
Rosé 2021","Niederösterreich, Austria",3.8,29 ratings,13.99
Carol Shelton,"Carol Shelton
Wild Thing Rendezvous Rosé 2021","Mendocino County, United States",3.8,27 ratings,17.99
Miraval,"Miraval
Studio 2020","Côtes de Provence, France",3.7,925 ratings,15.99
Boschendal,"Boschendal
The Rose Garden Rosé 2021","Coastal Region, South Africa",3.7,226 ratings,11.39
Castello Monaci,"Castello Monaci
Negroamaro Kreos 2021","Salento, Italy",3.7,132 ratings,14.99
Day Owl,"Day Owl
Rosé 2020","California, United States",3.7,87 ratings,19.99
Herdade de São Miguel,"Herdade de São Miguel
Colheita Seleccionada Rosé 2021","Alentejano, Portugal",3.7,87 ratings,14
Campo Viejo,"Campo Viejo
Rosado 2020","Rioja, Spain",3.7,66 ratings,10.99
Domaine de la Bégude,"Domaine de la Bégude
Bandol Rosé 2018","Bandol, France",3.7,65 ratings,37.49
H3 Wines,"H3 Wines
Rosé 2020","Horse Heaven Hills, United States",3.7,61 ratings,10.65
Danilo Marcucci,"Danilo Marcucci
Dinamo Nucleo 3 Rosato 2020","Umbria, Italy",3.7,60 ratings,29.99
Margerum,"Margerum
Riviera Rosé 2021","San Luis Obispo County, United States",3.7,58 ratings,20.99
Pascal Jolivet,"Pascal Jolivet
Attitude Rosé 2019","Touraine, France",3.7,45 ratings,27.99
Paul Jaboulet Aîné,"Paul Jaboulet Aîné
Parallèle 45 Rosè 2019","Côtes-du-Rhône, France",3.7,30 ratings,14.99
Mulderbosch,"Mulderbosch
Cabernet Sauvignon Rosé N.V.","Stellenbosch, South Africa",3.6,7141 ratings,14.99
Charles Smith,"Charles Smith
Band of Roses Rosé 2020","Washington, United States",3.6,246 ratings,10.65
M. Chapoutier,"M. Chapoutier
Belleruche Côtes du Rhône Rosé 2020","Côtes-du-Rhône, France",3.6,135 ratings,14.95
Rabble,"Rabble
Rosé 2020","Paso Robles, United States",3.6,99 ratings,24
The Pinot Project,"The Pinot Project
Rosé 2020","Veneto, Italy",3.6,89 ratings,15.99
Bonterra,"Bonterra
Rosé 2020","Mendocino County, United States",3.6,76 ratings,15.99
Justin,"Justin
Rosé 2021","Paso Robles, United States",3.6,59 ratings,17.99
Kanonkop,"Kanonkop
Kadette Pinotage Rosé 2021","Stellenbosch, South Africa",3.6,57 ratings,15.19
Moulin de Gassac,"Moulin de Gassac
Guilhem Rosé 2021","Hérault, France",3.6,50 ratings,14.99
Painted Wolf,"Painted Wolf
Ros Pinotage Rosé 2020","Paarl, South Africa",3.6,28 ratings,13.29
Listel,"Listel
Grain de Gris 2021","Sable de Camargue, France",3.5,239 ratings,14.99
SIMI,"SIMI
Sonoma County Dry Rosé 2018","Sonoma County, United States",3.5,154 ratings,20
Yes Way,"Yes Way
Rosé 2021","Méditerranée, France",3.5,136 ratings,13.86
Warwick,"Warwick
The First Lady A Dry Rosé 2021","Stellenbosch, South Africa",3.5,60 ratings,14.24
19 Crimes,"19 Crimes
Snoop Cali Rosé 2020","California, United States",3.3,1306 ratings,19.99
District 7,"District 7
Pinot Noir Rosé 2017","Monterey, United States",3.3,29 ratings,16
Purato,"Purato
Rosé 2018","Terre Siciliane, Italy",3.2,37 ratings,12.99
Château d'Esclans,"Château d'Esclans
Garrus Rosé 2019","Côtes de Provence, France",4.6,332 ratings,Available online from $86.95
Château d'Esclans,"Château d'Esclans
Garrus Rosé 2017","Côtes de Provence, France",4.5,451 ratings,Available online from $94.99
Clos du Temple,"Clos du Temple
Languedoc Cabrières 2019","Languedoc, France",4.5,151 ratings,Available online from $149.99
Château d'Esclans,"Château d'Esclans
Les Clans Rosé 2020","Côtes de Provence, France",4.5,90 ratings,Available online from $69.99
Realm,"Realm
La Fe Rosé 2020","St. Helena, United States",4.5,70 ratings,Available online from $69
Barton & Guestier,"Barton & Guestier
Rosé D'Anjou 2020","Anjou, France",4.4,1320 ratings,Available online from $14.99
R. López de Heredia,"R. López de Heredia
Gran Reserva Rosado 2010","Rioja Alta, Spain",4.4,709 ratings,Available online from $99
R. López de Heredia,"R. López de Heredia
Gran Reserva Rosado 2011","Rioja Alta, Spain",4.4,333 ratings,Available online from $85
Minuty,"Minuty
281 2019","Côtes de Provence, France",4.4,204 ratings,Available online from $119.99
Château d'Esclans,"Château d'Esclans
Les Clans Rosé 2019","Côtes de Provence, France",4.4,153 ratings,Available online from $59.95
Clos du Temple,"Clos du Temple
Languedoc Cabrières 2020","Languedoc, France",4.4,121 ratings,Available online from $212.89
Clos du Temple,"Clos du Temple
Languedoc Cabrières 2018","Languedoc, France",4.4,87 ratings,Available online from $165
RUMOR,"RUMOR
Rosé 2020","Côtes de Provence, France",4.4,58 ratings,Available online from $32.99
Out East,"Out East
Côtes de Provence Rosé 2019","Côtes de Provence, France",4.4,33 ratings,Available online from $21.99
Sine Qua Non,"Sine Qua Non
And An Eight Track Rosé 2013","California, United States",4.4,32 ratings,Available online from $331.98
Château La Sauvageonne,"Château La Sauvageonne
La Villa Rosé 2019","Languedoc, France",4.4,31 ratings,Available online from $61.67
Minuty,"Minuty
Rosé et Or 2019","Côtes de Provence, France",4.3,1098 ratings,Available online from $49.50
Minuty,"Minuty
Rosé et Or 2020","Côtes de Provence, France",4.3,987 ratings,Available online from $42.95
Barton & Guestier,"Barton & Guestier
Rosé D'Anjou 2019","Anjou, France",4.3,943 ratings,Available online from $15.99
Domaines Ott,"Domaines Ott
Château de Selle Rosé (Coeur de Grain) 2019","Côtes de Provence, France",4.3,679 ratings,Available online from $119
Clos Cibonne,"Clos Cibonne
Tibouren Tradition Rosé 2019","Côtes de Provence, France",4.3,621 ratings,Available online from $26.99
Gut Oggau,"Gut Oggau
Winifred Rosé 2018","Weinland, Austria",4.3,601 ratings,Available online from $35
Domaine Tempier,"Domaine Tempier
Bandol Rosé 2017","Bandol, France",4.3,584 ratings,Available online from $47
Domaines Ott,"Domaines Ott
Clos Mireille Rosé (Coeur de Grain) 2017","Côtes de Provence, France",4.3,531 ratings,Available online from $38.09
Gut Oggau,"Gut Oggau
Winifred Rosé 2019","Weinland, Austria",4.3,524 ratings,Available online from $35
Ameztoi,"Ameztoi
Rubentis 2019","Getariako Txakolina, Spain",4.3,454 ratings,Available online from $25
Domaine Tempier,"Domaine Tempier
Bandol Rosé 2020","Bandol, France",4.3,443 ratings,Available online from $32
Domaines Ott,"Domaines Ott
Clos Mireille Rosé (Coeur de Grain) 2020","Côtes de Provence, France",4.3,407 ratings,Available online from $44.98
Matthiasson,"Matthiasson
Rosé 2020","Napa Valley, United States",4.3,215 ratings,Available online from $25.95
Gut Oggau,"Gut Oggau
Maskerade Rosé 2020","Weinland, Austria",4.3,198 ratings,Available online from $38
Gut Oggau,"Gut Oggau
Rosé (Family Reunion) 2016","Weinland, Austria",4.3,197 ratings,Available online from $58
Gut Oggau,"Gut Oggau
Maskerade Rosé 2018","Weinland, Austria",4.3,170 ratings,Available online from $30
Château le Puy,"Château le Puy
Rose-Marie 2019","Blaye - Côtes de Bordeaux, France",4.3,153 ratings,Available online from $79.99
Valentini,"Valentini
Cerasuolo Montepulciano d'Abruzzo Rosé 2018","Cerasuolo d'Abruzzo, Italy",4.3,137 ratings,Available online from $125
Arnot-Roberts,"Arnot-Roberts
Rosé 2019","Clear Lake, United States",4.3,121 ratings,Available online from $32
